מס' חדר,ID,קטגוריה,סוג,משפחה,קומה
לא משויך,933739,Electrical Equipment,500 kVA Batt,M_Uninterruptible Power Supply,לא
לא משויך,934298,Electrical Equipment,500 kVA Batt,M_Uninterruptible Power Supply,לא
לא משויך,934334,Electrical Equipment,500 kVA Batt,M_Uninterruptible Power Supply,לא
לא משויך,934335,Electrical Equipment,500 kVA Batt,M_Uninterruptible Power Supply,לא
לא משויך,1376599,Electrical Fixtures,D-18 (Conference Rooms)-M5,M5-1,לא
לא משויך,1439759,Electrical Equipment,100mmx46mm,M_Circuit Breaker Switchboard,לא
לא משויך,1439772,Electrical Equipment,100mmx46mm,M_Circuit Breaker Switchboard,לא
לא משויך,1439785,Electrical Equipment,100mmx46mm,M_Circuit Breaker Switchboard,לא
לא משויך,1439811,Electrical Equipment,100mmx46mm,M_Circuit Breaker Switchboard,לא
לא משויך,1439837,Electrical Equipment,100mmx46mm,M_Circuit Breaker Switchboard,לא
לא משויך,1439849,Electrical Equipment,100mmx46mm,M_Circuit Breaker Switchboard,לא
לא משויך,1439862,Electrical Equipment,100mmx46mm,M_Circuit Breaker Switchboard,לא
לא משויך,1439863,Electrical Equipment,100mmx46mm,M_Circuit Breaker Switchboard,לא
לא משויך,1479237,Lighting Fixtures,Emergency Lamp,M_Ceiling Light - Linear Box1,לא
לא משויך,1479253,Lighting Fixtures,42W 4000K,סי לד 6600,לא
לא משויך,1479254,Lighting Fixtures,42W 4000K 24h,סי לד 6600,לא
לא משויך,1479255,Lighting Fixtures,42W 4000K,סי לד 6600,לא
לא משויך,1479256,Lighting Fixtures,42W 4000K,סי לד 6600,לא
לא משויך,1479257,Lighting Fixtures,42W 4000K 24h,סי לד 6600,לא
לא משויך,1479258,Lighting Fixtures,42W 4000K,סי לד 6600,לא
לא משויך,1479301,Lighting Fixtures,42W 4000K,סי לד 6600,לא
לא משויך,1479302,Lighting Fixtures,42W 4000K,סי לד 6600,לא
לא משויך,1479305,Lighting Fixtures,42W 4000K,סי לד 6600,לא
